,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
146903,34.08136040921872,101.59565681907705,0.9678508025063977,154.88982258283812,1308.1436995263152
136567,33.43273469570681,91.86099733124367,0.9964076804444219,110.35003350771208,1253.4145516100637
187593,38.018593238062024,126.30162571286264,0.9826203850708789,263.98766670482195,1418.1301374250068
254335,34.96732650555758,133.7175051717901,0.9862982045942377,190.87306807006914,1431.7709766791786
197882,43.52133040094182,131.8552490754464,0.9939711767477667,148.77642908664063,1437.2173325368553
237617,31.579828237653363,119.8777566781151,0.9773042718949203,124.64036751436376,1383.2451681001226
138134,37.39228635955375,111.78851001771953,0.9808668294588829,133.30850422223602,1361.2117253025951
56047,35.761192349670154,96.9086602791818,0.9956327233683862,286.1624553525459,1282.3003029394383
223241,35.399373309120534,104.87613887730919,0.9858075173169016,215.22443472606165,1326.0315451732931
149326,33.85385161235779,95.62685625082592,0.9887018931453297,151.588626749512,1275.1502193741292
228247,42.549555027965134,109.22790282289667,0.9903336801179868,117.41129872593203,1349.3272134139486
141871,43.22688687607309,109.91788302703151,0.9947108642063351,101.4628311842207,1352.447781666455
34033,31.97596186317805,110.79743976310358,0.9895800411373386,585.5843120727151,1349.3777426118918
194878,30.803337291652436,129.34968403190516,0.9654068857042934,104.00157236933474,1408.3096536468345
75549,33.30539353298755,95.62165363941442,0.9837067061843296,183.73707390790122,1275.1207367103948
143721,44.15858021482647,284.1831531731516,0.8174344797534041,169.25336138947694,820.7496022451991
225767,37.28163389659767,303.3549436955308,0.8593445110461888,122.61723078467028,760.7587748076216
259105,39.565334261722015,293.91116008389105,0.8712219335916255,96.63818683955398,793.4971814022967
337177,35.29088568528161,285.30904301220176,0.7876644947723479,14.001548003820881,873.5956040476581
323791,40.29903130722326,305.7168866199856,0.7206813062240737,133.38410073373285,722.7445782400728
32455,37.91991844446075,297.58014611552846,0.8861939455952114,126.02404358922045,785.796968110874
258597,40.69554714043277,287.75853327011635,0.8134779785871357,61.983240147231655,821.7758892356865
195508,36.59281957376241,312.46848454535535,0.808862387958821,162.89342611059658,723.9958001658165
343710,40.957123202451626,289.11643190581157,0.8442084923377332,192.64143252703806,811.8793049226276
196082,43.145579446670084,303.8374666051432,0.8315692696549977,108.84856366333108,709.9843876344794
215414,44.16090446705752,277.75303120173425,0.7854455234539391,1486.4034169338736,861.6395430319856
106950,40.825865865243344,295.33199825946156,0.8679451738567008,205.90213446189486,776.0815773743037
332632,37.335833599611874,275.10212346789393,0.858828733378419,181.8219872002352,919.2479663171061
214684,43.163085509745756,273.33489842252425,0.7913690053820966,713.4771026447931,896.2345407293382
260594,39.19975660827571,270.7633672646478,0.8081123602708133,74.27879264112798,934.932933751875
156862,44.0384666799948,284.91600873203765,0.8312766752534818,195.4519585319853,816.9465148030055
292335,42.30311031358647,290.06330785845967,0.5625316331743786,16.899987086490064,796.9072183665967
11445,39.47561247608691,291.80509212356293,0.8008445001031004,43.71715235590293,806.324574011162
219764,44.13529494223256,296.2932254818589,0.792231842236865,132.8944155286704,746.2103218133494
67160,41.62068268875188,302.8418957086348,0.6597385763497987,129.38301960712107,727.346123691429
352594,43.231536981310015,309.81322207429713,0.6304886640425432,92.53402319735771,676.6944403805712
97270,40.48611064374554,298.30375313371263,0.7383411229458765,12.621256923998574,761.4335145009034
256504,39.13867712556815,303.4731917229169,0.8580544222922997,147.33665802502054,744.2301309152872
58239,30.29665738893577,280.69929966762277,0.7442901979680658,34.884855773101336,933.3547956915862
52969,38.00954176276156,281.5448888577099,0.5836139180434301,32.19452074759022,876.637529657945
61304,34.05109563888319,293.30088896521136,0.8024762697061874,3307.80916791449,839.8729881541344
244691,30.811446203002653,297.8802915879151,0.8741800306225255,85.36998189493346,844.7591219675256
281214,30.816402765119502,308.7561044674092,0.7895956681572859,136.83432900469157,798.2558467911545
183440,38.36984006986005,308.4640654193402,0.4696130650638105,13.011685791366794,725.7605372396796
210504,41.210471195328886,312.4299492376659,0.817188690446355,237.37012042703287,680.9058404006254
255556,39.27792496524421,305.3815197806509,0.7154278805762732,140.036604521401,733.1790240956836
364487,45.243720880999504,288.0340652084798,0.9681380560934302,134.40568045386365,789.4009837979639
344244,49.173264942927354,285.6037897612591,0.9948296573436733,80.61092677652448,779.9733777840111
278807,48.14682115571236,285.44453838053914,0.9943916038422259,101.09475792794885,787.1794760406524
260267,51.63434410893038,309.0815832820248,0.9927618917570804,80.92517733735431,618.830048383071
42033,50.022427880033824,274.10263221602764,0.9999365708605172,91.93540273706984,850.5358934992478
204521,46.47151293938412,297.60444793113373,0.9697908923076468,58.70467007065983,721.7603827937344
256843,59.05115890438659,314.8000049469945,0.9865384643902674,82.51181543239535,541.8133361345223
202205,46.2205093089829,311.54552290864547,0.972216450784559,64.48747890324861,643.8728527128089
364784,65.09078777980818,278.4268782714138,0.9920710563046248,12.725608626927494,733.7276835531043
53612,45.66501030202399,308.7559459616629,0.968631118395336,163.77868562809138,663.2003736499065
268039,48.786432175594165,279.7197568202025,0.9901437895541778,215.7559107086431,820.5743697180709
265176,46.74641888194979,278.84315006493875,0.9668060682775438,200.15236875099185,838.5054602286953
302584,45.7325543076798,287.14717022863033,0.9944706288422693,117.9886863673959,791.7501347154965
61338,50.921506820997465,306.2542276187134,0.9944692495849716,164.60177353189587,639.937795793844
35045,48.118175928911654,312.0744171409468,0.9835699129785312,81.05876403028113,626.6059263030702
235325,45.189283278332525,306.50188971023033,0.9892797917628158,66.95260373144288,679.263403908732
227063,48.69623830290453,297.96391914586656,0.9800788433563195,176.07352773784754,704.4203068422585
13929,54.78679806435001,303.896163517021,0.9852165213504736,81.95751913587613,629.3455690218078
